type percent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
15,4,15,10,15,20,20,8,50,10,9,10,25,10,15,10,100,100,1,10,1,1,11,1,1,15,50,35,25,20,4,4,10,10,10
3,3,10,7,4,15,5,10,20,10,5,5,15,10,25,20,,,10,7,12,15,25,15,15,10,50,40,25,10,10,10,10,20,10
7,3,6,15,18,20,15,18,20,10,15,10,15,10,15,10,,,10,15,20,15,16,15,15,10,,10,25,10,10,10,4,10,10
2,2,7,5,6,5,5,10,10,10,5,10,20,10,20,10,,,10,5,15,30,2,30,30,1,,10,25,1,1,5,5,10,10
4.5,1,3,15,2,25,10,2,,10,10,10,15,10,15,10,,,10,15,14,10,30,10,10,3,,5,,10,10,1,5,10,10
2.5,4,8,5,10,15,25,7,,10,5,10,10,10,10,10,,,10,5,13,14,15,14,14,8,,,,10,15,15,10,10,10
2,1,15,10,4,,15,15,,10,10,5,,10,,20,,,10,10,25,15,1,15,15,15,,,,10,10,10,15,10,10
0.2,2,7,5,8,,5,10,,10,5,10,,10,,10,,,10,5,,,,,,7,,,,15,15,15,15,10,10
2.5,1,9,8,12,,,20,,10,1,10,,20,,,,,5,12,,,,,,1,,,,4,10,10,10,10,10
3,5,4,9,2,,,,,10,10,10,,,,,,,10,9,,,,,,12,,,,10,15,15,15,,10
2.5,1,10,3,10,,,,,,7,10,,,,,,,10,3,,,,,,10,,,,,,5,1,,
1,3,3,2,9,,,,,,8,,,,,,,,4,2,,,,,,5,,,,,,,,,
2.5,1,2,1,,,,,,,5,,,,,,,,,1,,,,,,2,,,,,,,,,
2,3,1,2,,,,,,,2,,,,,,,,,1,,,,,,1,,,,,,,,,
2.5,5,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2,,4,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
